Date,reliance,adani
########,1244.602,116.95
########,1212.705,118.1
########,1232.765,119.8
########,1208.643,117.5
########,1204.681,118.25
########,1222.76,120.05
########,1235.192,119.4
########,1220.778,128.05
########,1220.729,132
########,1208.792,132.1
########,1212.011,132.25
########,1219.49,128.85
3/1/2019,1214.537,133.85
3/5/2019,1226.028,141.8
3/6/2019,1252.924,139.25
3/7/2019,1258.322,136.9
3/8/2019,1255.202,138.2
########,1291.854,139.05
########,1318.849,148.4
########,1334.649,147.35
########,1328.953,145.55
########,1309.24,141.85
########,1337.373,143.9
########,1363.624,142
########,1362.535,139.45
########,1329.151,138.25
########,1312.013,134.35
########,1354.411,138.3
########,1336.581,137.5
########,1347.23,137.8
4/1/2019,1378.781,151.45
4/2/2019,1376.651,151.65
4/3/2019,1362.287,147.55
4/4/2019,1340.345,147.5
4/5/2019,1341.187,146.9
4/8/2019,1316.768,141.95
4/9/2019,1321.92,146
########,1318.898,142.85
########,1334.154,141
########,1330.488,141.4
########,1327.566,142.95
########,1331.132,143.05
########,1372.936,138.6
########,1332.717,135.15
########,1351.043,132.5
########,1376.453,136.15
########,1359.513,134.75
########,1379.722,131.4
########,1379.722,127.05
5/2/2019,1391.857,126.65
5/3/2019,1395.621,128.3
5/6/2019,1371.896,125.6
5/7/2019,1330.885,122.35
5/8/2019,1287.248,120.9
5/9/2019,1244.652,120.1
########,1239.402,120
########,1220.481,117.6
########,1248.614,123.35
########,1245.098,117.4
########,1253.468,118.8
########,1255.499,119.3
########,1313.45,151.95
########,1327.219,154.65
########,1327.814,157.95
########,1321.375,161.05
########,1324.297,156.4
########,1298.343,157.2
########,1311.32,157.65
########,1300.72,155.15
########,1317.264,158.1
########,1317.66,154.75
6/3/2019,1347.428,159.05
6/4/2019,1338.958,157.6
6/6/2019,1314.886,153.15
6/7/2019,1302.553,151.35
########,1306.763,149.95
########,1316.669,153.6
########,1319.641,153.2
########,1314.787,153.1
########,1305.178,152.45
########,1270.259,147.9
########,1268.971,147.95
########,1265.356,142.8
########,1284.573,148.45
########,1267.485,146.8
########,1250.546,147.75
########,1283.682,150.85
########,1281.998,153.8
########,1262.186,152.85
########,1241.333,150.5
7/1/2019,1256.936,154.1
7/2/2019,1266.495,154.7
7/3/2019,1270.507,155.6
7/4/2019,1271.943,156.1
7/5/2019,1251.487,147.3
7/8/2019,1240.293,138.9
7/9/2019,1268.08,141.15
########,1266.842,139.35
########,1269.516,141
########,1268.476,140.3
########,1264.117,137.95
########,1280.859,140.15
########,1269.813,138.05
########,1250.001,134.2
########,1237.272,131.4
########,1268.476,131.65
########,1261.591,134.05
########,1247.277,129.8
########,1219.936,129.4
########,1202.402,131.85
########,1199.579,129.45
########,1169.811,125.35
########,1155.299,128.8
8/1/2019,1169.167,125.45
8/2/2019,1173.229,128.1
8/5/2019,1132.614,124.7
8/6/2019,1117.705,128.2
8/7/2019,1098.983,125.6
8/8/2019,1141.529,130.9
8/9/2019,1151.188,132.4
########,1262.78,130.3
########,1276.153,130.65
########,1266,132.85
########,1280.463,135.5
########,1263.969,135.65
########,1259.016,131.9
########,1235.043,126.9
########,1263.87,131.3
########,1254.905,135.2
########,1262.879,137.15
########,1251.438,135.95
########,1230.09,132.35
########,1236.826,137.35
9/3/2019,1195.072,135.25
9/4/2019,1189.871,134.95
9/5/2019,1187.345,135.75
9/6/2019,1211.021,137.75
9/9/2019,1210.724,140.9
########,1222.809,143.95
########,1198.985,143.05
########,1214.092,145.75
########,1199.381,145.95
########,1186.206,143.75
########,1194.379,144.15
########,1167.979,142.55
########,1242.572,149.1
########,1227.564,152.4
########,1266.693,148.05
########,1267.535,147.55
########,1284.623,152.7
########,1296.758,149.45
########,1319.74,145.85
########,1292.647,143.65
########,1298.739,143.55
########,1295.817,140
########,1297.798,135.8
########,1312.311,139
########,1349.954,137.4
########,1339.899,136.95
########,1345.248,147.1
########,1351.341,155
########,1359.464,160.15
########,1383.387,162.55
########,1403.051,175.1
########,1400.871,178.65
########,1379.325,176.45
########,1422.962,179
########,1417.761,181.3
########,1420.782,183.4
########,1453.274,195.55
########,1465.211,195.75
########,1450.6,199.65
########,1443.22,200.45
########,1443.963,200.9
########,1433.71,200.55
########,1421.426,207.55
########,1444.904,209.15
########,1431.927,208.05
########,1414.393,210.85
########,1458.475,198.2
########,1449.015,202.3
########,1457.039,203.6
########,1445.498,201.15
########,1495.573,199.7
########,1533.118,205.7
########,1523.162,205.5
########,1531.978,203.45
########,1546.887,215.2
########,1545.599,210.6
